,reservoir,order,yearmonth,density_cells/ml,m_avg_deep_temp,m_avg_surf_temp,m_avg_dissolved_oxygen,temperature,precipitation_sum,daylight_duration,type,stratification,latitude,longitude,temp_diff
314,CBR,Oscillatoriales,200308,44.3645,24.108695652173914,25.98,3.005217391304348,22.55483870967742,3.574193548387097,49364.82838709677,Ag,None,39.9485,-83.7459,1.8713043478260865
315,CBR,Oscillatoriales,200406,127.43130449799999,21.9875,22.82,3.109166666666667,20.41,2.3266666666666667,53864.87566666667,Ag,None,39.9485,-83.7459,0.8324999999999996
316,CBR,Oscillatoriales,200407,34.306930693,23.900000000000002,24.8625,4.1078947368421055,21.96451612903226,3.829032258064516,52799.47806451613,Ag,None,39.9485,-83.7459,0.9624999999999986
317,CBR,Oscillatoriales,200408,99.27599067599999,22.712,23.56,3.418,20.596774193548388,2.061290322580645,49262.29612903226,Ag,None,39.9485,-83.7459,0.847999999999999
318,CBR,Oscillatoriales,200409,53.003329753,18.625,22.3125,6.471666666666667,19.136666666666667,1.8033333333333335,44721.609333333334,Ag,None,39.9485,-83.7459,3.6875
319,CBR,Oscillatoriales,200508,133.0,23.763157894736842,25.537499999999998,1.2984210526315791,24.248387096774195,4.551612903225807,49296.05064516129,Ag,None,39.9485,-83.7459,1.7743421052631554
320,CBR,Oscillatoriales,200606,333.93233333333336,18.258333333333333,23.330000000000002,0.8191666666666667,19.94,3.6166666666666667,53855.53433333334,Ag,None,39.9485,-83.7459,5.071666666666669
321,CBR,Oscillatoriales,200607,187.61366666666666,22.650000000000002,26.46666666666667,0.10071428571428571,23.874193548387098,2.8451612903225807,52839.080322580645,Ag,None,39.9485,-83.7459,3.8166666666666664
322,CBR,Oscillatoriales,200707,364.063792068498,22.88235294117647,25.433333333333334,2.334705882352941,22.138709677419353,1.8225806451612903,52858.21,Ag,None,39.9485,-83.7459,2.5509803921568626
323,CBR,Oscillatoriales,200808,11050.392156863,24.079310344827583,25.375,0.4327586206896552,23.15806451612903,1.0258064516129033,49257.15709677419,Ag,None,39.9485,-83.7459,1.295689655172417
